  0.8392333984375000E-03   0.8270637971088983E+09   0.1970999302765312E+13   0.6858031036788423E+00  -0.4870760752118754E-04   0.9765625000000000E-03  -0.9840969929006472E-02  -0.1006011503074953E+02
  0.1678466796875000E-02   0.2067656309175010E+09   0.2463749128452045E+12   0.6858030423632674E+00  -0.9741521068803473E-04   0.1953125000000000E-02  -0.1964870927968112E-01  -0.1002615921135646E+02
  0.2517700195312500E-02   0.9189560014177309E+08   0.7299997417576711E+11   0.6858029401706482E+00  -0.1461228051480377E-03   0.2929687500000000E-02  -0.2942335898183737E-01  -0.9992347294314708E+01
  0.3356933593750000E-02   0.5169108937080822E+08   0.3079686410473202E+11   0.6858027971009942E+00  -0.1948303865523657E-03   0.3906250000000000E-02  -0.3916505916683195E-01  -0.9958678464903979E+01
  0.4196166992187500E-02   0.3308214438598203E+08   0.1576799442089965E+11   0.6858026131543182E+00  -0.2435379505576978E-03   0.4882812500000000E-02  -0.4887394917321170E-01  -0.9925151914161649E+01
  0.5035400390625000E-02   0.2297358167880343E+08   0.9124996770593012E+10   0.6858023883306364E+00  -0.2922454928280592E-03   0.5859375000000000E-02  -0.5855016755231236E-01  -0.9891766838833961E+01
  0.5874633789062500E-02   0.1687843718997174E+08   0.5746353650663030E+10   0.6858021226299692E+00  -0.3409530090366579E-03   0.6835937500000000E-02  -0.6819385207381010E-01  -0.9858522441327784E+01
  0.6713867187500000E-02   0.1292245398876036E+08   0.3849608011254365E+10   0.6858018160523401E+00  -0.3896604948677211E-03   0.7812500000000000E-02  -0.7780513973122591E-01  -0.9825417929662766E+01
  0.7553100585937500E-02   0.1021024493051313E+08   0.2703702745073306E+10   0.6858014685977764E+00  -0.4383679460183322E-03   0.8789062500000000E-02  -0.8738416674738396E-01  -0.9792452517424056E+01
  0.8392333984375000E-02   0.8270217746022831E+07   0.1970999300316065E+10   0.6858010802663088E+00  -0.4870753582002659E-03   0.9765625000000000E-02  -0.9693106857982355E-01  -0.9759625423715413E+01
  0.9231567382812500E-02   0.6834817033026945E+07   0.1480840946040030E+10   0.6858006510579722E+00  -0.5357827271418268E-03   0.1074218750000000E-01  -0.1064459799261658E+00  -0.9726935873112785E+01
  0.1007080078125000E-01   0.5743077073468015E+07   0.1140624593568496E+10   0.6858001809728042E+00  -0.5844900485896839E-03   0.1171875000000000E-01  -0.1159290347294347E+00  -0.9694383095618370E+01
  0.1091003417968750E-01   0.4893446670887859E+07   0.8971321328036914E+09   0.6857996700108469E+00  -0.6331973183107079E-03   0.1269531250000000E-01  -0.1253803661833348E+00  -0.9661966326615126E+01
  0.1174926757812500E-01   0.4219290956270723E+07   0.7182942031180286E+09   0.6857991181721452E+00  -0.6819045320938076E-03   0.1367187500000000E-01  -0.1348001067374830E+00  -0.9629684806821702E+01
  0.1258850097656250E-01   0.3675416527821014E+07   0.5839997897379227E+09   0.6857985254567479E+00  -0.7306116857517657E-03   0.1464843750000000E-01  -0.1441883881025975E+00  -0.9597537782247800E+01
  0.1342773437500000E-01   0.3230295161749264E+07   0.4812009977327499E+09   0.6857978918647072E+00  -0.7793187751230761E-03   0.1562500000000000E-01  -0.1535453412556436E+00  -0.9565524504150037E+01
