0.461		-341.6	33.22
0.4629	-338.7	32.81
0.4649	-335.9	32.41
0.4668	-333.1	32.02
0.4687	-330.4	31.63
0.4706	-327.7	31.25
0.4725	-325		30.88
0.4744	-322.3	30.51
0.4763	-319.7	30.15
0.4782	-317.1	29.79
0.4802	-314.5	29.44
0.4821	-312		29.09
0.484		-309.5	28.75
0.4859	-307		28.42
0.4878	-304.6	28.09
0.4897	-302.2	27.76
0.4916	-299.8	27.44
0.4935	-297.4	27.13
0.4955	-295.1	26.81
0.4974	-292.8	26.51
0.4993	-290.5	26.21
0.5012	-288.3	25.91
0.5031	-286		25.62
0.505		-283.8	25.33
0.5069	-281.7	25.05
0.5089	-279.5	24.77
0.5108	-277.4	24.49
0.5127	-275.3	24.22
0.5146	-273.2	23.96
0.5184	-269.1	23.43
0.5203	-267.1	23.18
0.5223	-265.1	22.93
0.5242	-263.1	22.68
0.5261	-261.1	22.43
0.528		-259.2	22.19
0.5299	-257.3	21.95
0.5337	-253.5	21.49
0.5356	-251.7	21.26
0.5375	-249.9	21.04
0.5395	-248.1	20.82
0.5433	-244.5	20.38
0.5452	-242.7	20.17
0.5471	-241		19.96
0.549		-239.3	19.75
0.5529	-235.9	19.35
0.5548	-234.2	19.15
0.5567	-232.6	18.96
0.5586	-230.9	18.76
0.5624	-227.7	18.39
0.5643	-226.1	18.2
0.5662	-224.6	18.02
0.5701	-221.5	17.66
0.572		-220		17.48
0.5758	-217		17.14
0.5777	-215.5	16.97
0.5796	-214		16.81
0.5835	-211.1	16.48
0.5854	-209.7	16.32
0.5892	-206.9	16
0.5911	-205.5	15.85
0.5949	-202.8	15.55
0.5969	-201.5	15.4
0.6007	-198.8	15.11
0.6026	-197.5	14.97
0.6064	-194.9	14.69
0.6083	-193.7	14.55
0.6121	-191.2	14.28
0.6141	-189.9	14.15
0.6179	-187.5	13.89
0.6199	-186		13.73
0.623		-184.4	13.56
0.6262	-182.6	13.37
0.6294	-180.8	13.18
0.6326	-179		12.99
0.6358	-177.2	12.8
0.6391	-175.4	12.62
0.6424	-173.7	12.44
0.6457	-171.9	12.26
0.6491	-170.2	12.08
0.6525	-168.4	11.9
0.656		-166.7	11.73
0.6595	-165		11.56
0.663		-163.2	11.39
0.6666	-161.5	11.22
0.6702	-159.8	11.05
0.6738	-158.1	10.89
0.6775	-156.4	10.73
0.6812	-154.8	10.57
0.685		-153.1	10.41
0.6888	-151.4	10.25
0.6926	-149.8	10.1
0.6965	-148.2	9.943
0.7005	-146.5	9.791
0.7045	-144.9	9.642
0.7085	-143.3	9.493
0.7126	-141.7	9.346
